season,team,wins,losses,win_pct,goals_favor,goals_against,goal_diff
2009,Ottawa Senators,44,32,0.537,225,238,-13
2009,Philadelphia Flyers,41,35,0.5,236,225,11
2009,Phoenix Coyotes,50,25,0.61,225,202,23
2009,Pittsburgh Penguins,47,28,0.573,257,237,20
2009,San Jose Sharks,51,20,0.622,264,215,49
2009,St. Louis Blues,40,32,0.488,225,223,2
2009,Tampa Bay Lightning,34,36,0.415,217,260,-43
2009,Toronto Maple Leafs,30,38,0.366,214,267,-53
2009,Vancouver Canucks,49,28,0.598,272,222,50
2009,Washington Capitals,54,15,0.659,318,233,85
2010,Anaheim Ducks,47,30,0.573,239,235,4
2010,Atlanta Thrashers,34,36,0.415,223,269,-46
2010,Boston Bruins,46,25,0.561,246,195,51
2010,Buffalo Sabres,43,29,0.524,245,229,16
2010,Calgary Flames,41,29,0.5,250,237,13
2010,Carolina Hurricanes,40,31,0.488,236,239,-3
2010,Columbus Blue Jackets,34,35,0.415,215,258,-43
2010,Chicago Blackhawks,44,29,0.537,258,225,33
2010,Colorado Avalanche,30,44,0.366,227,288,-61
2010,Dallas Stars,42,29,0.512,227,233,-6
2010,Detroit Red Wings,47,25,0.573,261,241,20
2010,Edmonton Oilers,25,45,0.305,193,269,-76
2010,Florida Panthers,30,40,0.366,195,229,-34
2010,Los Angeles Kings,46,30,0.561,219,198,21
2010,Minnesota Wild,39,35,0.476,206,233,-27
2010,Montreal Canadiens,44,30,0.537,216,209,7
2010,Nashville Predators,44,27,0.537,219,194,25
2010,New Jersey Devils,38,39,0.463,174,209,-35
2010,New York Islanders,30,39,0.366,229,264,-35
2010,New York Rangers,44,33,0.537,233,198,35
2010,Ottawa Senators,32,40,0.39,192,250,-58
2010,Philadelphia Flyers,47,23,0.573,259,223,36
2010,Phoenix Coyotes,43,26,0.524,231,226,5
2010,Pittsburgh Penguins,49,25,0.598,238,199,39
2010,San Jose Sharks,48,25,0.585,248,213,35
2010,St. Louis Blues,38,33,0.463,240,234,6
2010,Tampa Bay Lightning,46,25,0.561,247,240,7
2010,Toronto Maple Leafs,37,34,0.451,218,251,-33
2010,Vancouver Canucks,54,19,0.659,262,185,77
2010,Washington Capitals,48,23,0.585,224,197,27
2011,Anaheim Ducks,34,36,0.415,204,231,-27
2011,Boston Bruins,49,29,0.598,269,202,67
2011,Buffalo Sabres,39,32,0.476,218,230,-12
2011,Calgary Flames,37,29,0.451,202,226,-24
2011,Carolina Hurricanes,33,33,0.402,213,243,-30
2011,Columbus Blue Jackets,29,46,0.354,202,262,-60
2011,Chicago Blackhawks,45,26,0.549,248,238,10
2011,Colorado Avalanche,41,35,0.5,208,220,-12
2011,Dallas Stars,42,35,0.512,211,222,-11
2011,Detroit Red Wings,48,28,0.585,248,203,45
2011,Edmonton Oilers,32,40,0.39,212,239,-27
2011,Florida Panthers,38,26,0.463,203,227,-24
2011,Los Angeles Kings,40,27,0.488,194,179,15
2011,Minnesota Wild,35,36,0.427,177,226,-49
2011,Montreal Canadiens,31,35,0.378,212,226,-14
2011,Nashville Predators,48,26,0.585,237,210,27
2011,New Jersey Devils,48,28,0.585,228,209,19
2011,New York Islanders,34,37,0.415,203,255,-52
2011,New York Rangers,51,24,0.622,226,187,39
2011,Ottawa Senators,41,31,0.5,249,240,9
2011,Philadelphia Flyers,47,26,0.573,264,232,32
2011,Phoenix Coyotes,42,27,0.512,216,204,12
2011,Pittsburgh Penguins,51,25,0.622,282,221,61
2011,San Jose Sharks,43,29,0.524,228,210,18
2011,St. Louis Blues,49,22,0.598,210,165,45
2011,Tampa Bay Lightning,38,36,0.463,235,281,-46
2011,Toronto Maple Leafs,35,37,0.427,231,264,-33
2011,Vancouver Canucks,51,22,0.622,249,198,51
2011,Washington Capitals,42,32,0.512,222,230,-8
2011,Winnipeg Jets,37,35,0.451,225,246,-21
